CLOSE	HIGH	LOW	VOLUME	MARKETCAP	GSADF	HASHRATE	TRANSFEES	FGI	CONFIRMTIME	MININGREVENUE
6733.39	7003.22	6673.34	38976504903	124719708453.635	-1.1285539548	91290582.4646392	25.82618528	14	30.49548479	11436511.5514712
6867.53	6878.95	6696.48	33185988584	123234164427.708	-1.1707793768	108580465.507185	16.67009774	12	20.9472307767	13560678.0014824
6791.13	6883.41	6715.93	29510409856	125564427826.176	-1.220702915	121029181.297817	13.64940917	12	10.0136990261	14957634.8766792
7271.78	7271.78	6782.89	46896904615	124272363451.94	-1.2419309848	88524201.1778319	20.99212028	12	23.6660902503	11485342.6768563
7176.41	7427.94	7136.71	44243482668	133484854333.45	-1.2512012249	116188014.045904	25.32409774	20	45.5858466811	15735459.9608062
7334.1	7356.22	7153.31	37563249549	131782164465.853	-1.2621554407	103061194.836332	22.6627845	21	22.3970071533	13302461.4215237
7302.09	7341.45	7179.09	34815139178	134518720640.023	-1.2723047604	112650577.826398	23.29595386	22	21.6635177884	14241012.6272215
6865.49	7303.82	6802.48	43622840992	133598651281.718	-1.2796777936	119234053.153915	20.78686915	15	11.6695280729	14368680.593185
6859.08	6926.07	6789.92	31222085946	125740858699.276	0.3540143534	116308064.119463	13.75253175	15	10.5233492082	13917060.6896329
6971.09	7119.95	6811.08	35759567632	125980543742.365	0.2460676644	111919080.567785	12.86445785	10	11.2258390707	13349664.7131069
6845.04	6965.62	6668.26	38619308647	126655463658.312	0.3968279403	125086031.222819	16.74379536	11	9.9117991883	14683700.7327373
6842.43	6958.56	6793.82	34110434052	125651103790.212	0.4678036049	122891539.44698	22.46964436	15	30.2668984873	14587959.1353395
6642.11	6928.66	6633.4	32288311031	125713883015.646	0.2320329821	123623036.705593	26.54420742	18	31.8582983728	14558871.7374524
7116.8	7134.45	6555.5	46783242377	121499498109.808	0.1269485461	112650577.826398	28.64066108	13	16.6688513819	13495677.8347836
7096.18	7167.18	7050.33	32513423567	129402884477.959	0.1435648431	92900151.843848	25.54078133	15	39.0508552958	11584618.6908067
7257.67	7269.96	7089.25	32447188386	128961704237.389	0.3456323873	115576566.86085	19.2635742	18	45.0377496707	14261973.7785588
7189.42	7280.52	7167.05	31311210215	132775323305.436	0.9099686535	111187583.309172	15.56965781	16	11.2905693994	13731416.2140145
6881.96	7240.29	6835.5	37747113936	130680700686.31	0.7575583839	117771058.636689	21.97670283	15	20.4755449042	14513595.7291591
6880.32	6934.55	6834.44	32589741511	125724610427.9	0.2970560264	115730561.554044	23.37622201	17	21.4785624497	13280755.4956055
7117.21	7145.87	6867.78	33249153866	125473149029.115	-0.6447469598	103923467.233466	25.3733028	19	22.051739949	11597010.0622321
7429.72	7491.79	7081.59	43500782316	130398643209.393	-0.8121033216	112649865.245436	41.12345331	19	108.8172009333	13203833.9171429
7550.9	7574.2	7434.18	34636526286	135414822709.731	-0.7254327385	114236483.065795	37.06157042	20	43.5752936461	14000287.8021753
7569.94	7641.36	7521.67	32941541447	137493716065.401	-0.5064756442	107890011.784362	27.81417372	24	61.0821039975	13029925.9247904
7679.87	7700.59	7561.41	33070154491	138298135122.858	-0.2787337244	108683320.694541	20.75041249	21	17.2438079988	13360910.3301689
7795.6	7795.6	7679.42	36162144725	140977260141.332	-0.5724191241	111856556.335257	28.0798915	28	30.2802846015	13997087.9010893
7807.06	7814.53	7730.81	33187959921	142649802462.829	-0.5703765896	122169572.167586	27.79591192	26	23.6215571301	15084394.0350117
8801.04	8871.75	7786.05	60201052203	142370212777.142	-0.4266559126	115029791.975974	51.72660237	26	27.4087943826	15737371.4387275
8658.55	9440.65	8533.26	66964629541	160483573440.178	-0.4249759918	107096702.874182	106.67585999	44	103.7476525929	16397343.7651328
8864.77	9048.02	8667.76	44068389997	158042623264.392	-0.4567765836	111856556.335257	110.19665812	40	267.9657737365	17578400.0138616
8988.6	9007.19	8811.37	40134388683	161989355178.822	-0.6129181252	117409718.706511	68.24207768	40	189.7284869494	17019209.5407702
8897.47	9167.78	8830.97	47101785174	164603123455.999	-0.8860147468	133275896.910094	57.28031251	45	94.9003182471	19630255.3423323
8912.65	8956.91	8645.02	45718796276	163036842346.686	-0.8527159954	125342807.808302	67.05887239	44	18.4966784394	17898623.6303281
9003.07	9062.42	8856.83	43148462663	162341412439.881	-0.860739983	126294576.814336	71.89874272	40	43.5371245494	18282730.7640675
9268.76	9411.47	8966.71	49371886931	165335617639.049	-1.0505658898	123288445.655594	68.53849328	42	34.1764496469	20611754.9554308
9951.52	9992.66	9138.32	61112700562	167950864937.147	-1.0210919688	117684425.398522	88.31823092	49	36.4181547019	18246780.7005844
9842.67	9996.74	9767.17	51780748042	182927847431.449	-1.0606579977	109678682.174133	104.101785	55	55.2722213497	18271845.620501
9593.9	9913.86	9580.64	46566121841	180421762956.349	-0.9558449915	108878107.851694	87.06031277	56	134.6552077645	17375844.0015605
8756.43	9595.58	8395.11	63325279337	175752574354.635	-0.8437358362	136097634.814617	63.27358086	48	87.4787760422	19252835.575272
8601.8	9033.47	8374.32	57119858802	160814678353.708	-0.9005636491	125690168.622911	88.60442418	40	106.6982478643	17168436.3390022
8804.48	8949.9	8569.64	42142717533	158113540964.467	-0.7994433628	116883851.076083	109.81191323	39	86.3303157597	8950520.33366681
9269.99	9317.88	8805.39	45558144023	161474125336405	-0.9251900343	95268344.370232	108.86188214	41	56.8869349427	7822621.0542868
9733.72	9793.27	9255.04	56426907637	170593350055.825	-0.6207402571	91265472.7580373	145.59263376	40	71.9318595801	8245134.85128987
9328.2	9755.83	9261.4	48158802327	179398095871.34	-0.9050196209	100071790.304866	161.77900478	44	162.4207031353	8969982.47707204
9377.01	9564.21	9260.69	36164766408	170983863891.475	-0.8882210977	100872364.627304	108.31654619	41	339.9374548491	8429266.32745205
9670.74	9823	9349.55	40084250663	172309401206.744	-0.8446327257	81658580.8887703	100.65014834	40	101.7270370649	7112392.24211133
9726.58	9906.03	9570.36	41827139896	177224284369.132	-0.9154251216	102473513.272182	163.90960993	50	117.5926625898	9800851.10620265
9729.04	9836.05	9539.62	39254288955	178446153576.464	-0.9434376091	92066047.0804763	182.34876244	50	118.5456972441	8879553.7575469
9522.98	9804.79	9447.2	36546239703	179127815802.662	-0.9203107725	86971887.3185643	192.28599464	52	109.2914539666	8810740.96343472
9081.76	9555.24	8869.93	39326160532	175227227252.906	-0.93026897	98579623.7035512	201.49979488	49	205.6177996404	9450405.20057815
9182.58	9232.94	9008.64	29810773699	166569335290.84	-0.9384763267	83529299.4740014	158.63953474	42	113.0783621017	7770388.92415917
9209.29	9302.5	9118.11	27727866812	168309812992.513	-0.9262702234	89549429.1658213	108.03281588	40	166.5328650475	7843058.63019165
8790.37	9288.4	8787.25	32518803300	168614573110.758	-1.1235170342	87291880.5313888	73.43623594	43	117.7783297035	7286826.33878152
8906.93	8951.01	8719.67	31288157264	161407638875.365	-1.1160122114	94064526.4346863	92.3763056	41	80.9216726736	7689659.79284451
8835.05	8991.97	8757.29	29584186947	163333743988.583	-1.1156636793	93312010.2232088	80.47442225	39	68.3594299424	7687822.76814688
9181.02	9203.32	8834.16	32740536902	162547226896.538	-1.1350936425	103847237.183894	77.89905605	39	81.2903394616	9241012.00693874
9525.75	9546.32	9148.46	34367073114	168615778509.823	-1.1310331977	98579623.7035512	88.34237133	41	118.6660596213	8457127.38821037
9439.12	9573.67	9379.34	32896642044	175534414971.323	-1.1183854204	95569558.8576412	94.10951218	48	60.7171205665	8526743.18954307
9700.41	9704.03	9366.73	32722975141	173355014878.48	-1.1292154464	117392528.990488	68.4324487	48	81.3856731989	9913195.96576446
9461.06	9700.34	9432.3	27773290299	177978616382.689	-1.1466706803	112877431.721623	61.02644621	51	13.2665161813	9542417.4585863
10167.27	10199.57	9450.9	35198901068	174105710752.048	-1.1731413254	100837172.337984	79.73065264	50	44.4346247975	8910754.39107795
9529.8	10182.34	9460.57	39137252109	186932702065.969	-1.1742368036	97074591.2805962	97.92708045	56	43.0566240455	8941264.80720643
9656.72	9682.86	9471.85	25007459262	175463166971.52	-1.1816664032	104599753.395371	82.16455447	48	100.6334730014	9081230.36860107
9800.64	9887.61	9525.25	25921805072	177416480472.83	-1.1340382998	108668660.65278	62.37744471	54	86.0817025561	9764314.20040038
9665.53	9869.24	9663.22	23509628646	179830985954.855	-1.1304121419	122192367.725211	55.99573563	53	15.6649185679	11573082.6899895
9653.68	9773.43	9591.02	20438419222	177373937377.297	-1.188260667	133797229.464477	31.92632001	54	7.8586765256	12477168.3999888
9758.85	9768.5	9458.15	25015250846	177901732349.932	-1.209684852	108539589.208428	26.32906276	54	14.596559262	9821022.7645001
9771.49	9782.31	9675.89	21486346312	179167717944.462	-1.2298426474	110587505.985945	41.72247948	53	24.0429770679	10379765.6243221
9795.7	9836.37	9664.72	23717842783	179810911053.2	-1.2527532869	109222228.134267	35.1746286	52	37.8606759135	10182263.0439178
9870.09	9908.9	9728.29	25706567601	179709840753.797	-1.2482169697	111952783.837623	38.3855245	54	20.0633581093	10401186.386667
9321.78	9938.3	9263.07	30247143440	181705166673.575	-1.2450877049	126288201.280246	38.59236598	52	46.1392903217	11473619.1499784
9480.84	9540.47	9285.85	22610564515	171615707160.275	-1.2554001471	111270144.911784	29.91881048	38	22.9612917834	9866334.58133083
9475.28	9493.21	9396.01	17564322315	174266571295.68	-1.2499462792	107856950.282588	21.0833426	38	30.0980387173	9622452.78417518
9386.79	9482.27	9347.59	18991732746	174275005803.055	-1.2656341674	116048617.392658	16.29688827	40	7.8891952308	10380781.5378385
9450.7	9504.86	8990.18	26699704768	172116372679.339	-1.2697323756	94204171.7658051	34.18315891	37	27.7534425675	8280410.59960841
9538.02	9579.43	9400.45	21565537209	173598215783.882	-1.2387009608	106374812.691088	50.59742513	39	88.4954207124	9617963.21008684
9480.25	9540.42	9327.34	20177709879	175075304218.302	-1.1813548422	108283617.573483	47.79264099	38	79.632608082	8709273.10823802
9411.84	9482.78	9328.4	17770083003	174231189757.19	-1.258190004	97298323.0370428	44.77971256	40	32.5448838324	7714420.95468918
9288.02	9440.88	9274.3	19632223107	173034439845.621	-1.2707310089	111422273.155323	49.57769703	39	122.0952385127	8736099.47769752
9332.34	9394.97	9247.38	17130541557	171101646024.013	-1.2543416025	107498953.678023	30.01002493	38	41.9503509273	8238014.00234774
9303.63	9401.11	9300.43	15324301169	172323213442.366	-1.2740456472	114560928.737163	24.97941736	37	10.415623215	9006615.2058985
9648.72	9655.07	9296.87	21104009514	171192409474.14	-1.2822206715	112206937.050783	36.15947427	38	21.4489938057	8923565.20117743
9629.66	9670.54	9547.25	17006433272	178128652479.622	-1.2915831533	123976895.482684	45.81049682	41	73.1922648634	9964641.89522986
9313.61	9680.37	9278.23	18961716076	177187041226.598	-1.2924741011	109068281.468943	42.3573449	50	40.5761529933	8594577.4593605
9264.81	9340.16	9095.32	18616048626	171028279701.503	-1.3001859204	110637609.259863	40.08334016	43	41.0996522194	8504016.54820617
9162.92	9310.52	9101.74	18341465837	170495281892.459	-1.3055283435	128684878.855444	34.04227231	40	35.7492781416	9950436.65769901
9045.39	9207.81	8998.22	17273093144	168807143703.195	-1.3161678116	108283617.573483	23.40413949	43	30.8845720166	8059992.05896448
9143.58	9197.55	8975.53	14560870760	166004979429.797	-1.3290566476	117699584.319003	19.69907106	40	21.2718911837	8666896.61256926
9190.85	9237.57	9041.88	16460547078	168334049772.473	-1.3328831763	113776264.841703	33.39475024	41	28.0275479079	8562734.80271627
9137.99	9217.84	9084.84	15735797744	169175896894.165	-1.3363120148	115344676.145677	42.97241908	44	41.4509660087	8801310.46204946
9228.33	9309.75	9104.74	15971550355	168558715595.079	-1.3378090536	127111309.039231	62.82571084	42	128.5946288944	10124055.9362646
9123.41	9274.96	9036.62	16338916796	170031996602.767	-1.3442478623	128680584.459468	56.01403666	42	55.040215452	9907317.70423729
9087.3	9202.34	9058.79	13078970999	167604994105.349	-1.3250852658	127895946.749349	53.78625541	41	40.7610642246	9873738.20676215
9132.49	9183.3	9053.63	12290528515	167116284671.22	-1.3061923359	123188120.488637	31.87048128	40	17.3382322897	9203934.10591
9073.94	9162.18	8977.02	12903406143	168258822207.295	-1.2986994567	127895946.749349	25.1095593	38	9.6327717415	9453537.18129459
9375.47	9375.47	9058.66	17889263252	167429736492.905	-1.3072819598	120834207.358281	36.90829526	40	24.4949320074	9573702.5263014
9252.28	9360.62	9201.82	13839652595	172136257752.371	-1.2920190465	126326671.329112	40.72918894	43	33.706860848	9827305.84595956
9428.33	9450.34	9249.5	19702359883	170510411872.014	-0.6466136856	118480294.227925	47.68607406	44	44.0617636763	9269106.00709557
9277.97	9431.38	9235	18000702524	173809293389.638	1.7975541832	128680584.459468	55.08128328	44	67.8174596053	10324012.452296
9278.81	9287.47	9118	16860035605	170198606143.628	1.1022223448	126326671.329112	48.41811415	41	35.1096057595	9821730.66445103
9240.35	9293.53	9199.49	13249910444	171104767641.883	1.1770622982	122403482.778518	32.6994024	44	28.8240549507	9308390.99757443
9276.5	9319.42	9197.45	14452361907	170191069703.265	1.0485342135	119264931.938044	24.5852307	41	14.3266943516	9012154.57131376
9243.61	9306.41	9224.29	17519821266	171364106456.321	1.3228108525	121086665.700822	40.91827816	43	25.9063040354	8910800.3628078
9243.21	9283.84	9171.66	18085038362	170370727819.239	1.8956115487	124167138.542574	62.95443097	43	126.0723282999	9003009.80517444
9192.84	9275.33	9171.93	15844731575	170451532161.736	0.3271286641	118993507.769967	64.32008944	44	102.4101861983	8552242.70922882
9132.23	9214.31	9088.95	15713967523	169758848797.973	0.3809105709	117268964.179098	78.15856789	43	100.3610327083	8476261.34494985
9151.39	9182.25	9089.2	13944570749	168496782960.899	0.2760709235	101748071.861276	77.30576136	41	81.7823243218	7439212.40619956
9159.04	9230.98	9100.82	12252601475	168760444137.05	0.8690124906	112095333.40649	76.31263773	44	195.3356217915	8257260.54422192
9185.82	9201.4	9097.63	12939002784	169031588403.367	0.8917794558	112957605.201925	45.96803343	41	216.1741878506	8030628.81677879
9164.23	9214.27	9137.51	13755604146	169692625141.804	0.5339325466	121580323.15627	78.58857188	44	77.5117827121	8809861.14917053
9374.89	9407.26	9149.39	18069581956	168936986921.468	0.5984826111	107783974.429318	102.28349837	44	73.2338543913	8215338.73446885
9525.36	9530.52	9319.65	16532254884	173036757675.672	0.4779949517	124167138.542574	143.27483781	50	110.0253328476	9764974.36846801
9581.07	9610.25	9483	18146399002	175370017196.675	0.6220024656	117268964.179098	135.00696882	55	93.7690896989	9402091.57921377
9536.89	9623.34	9481.45	16552768325	176821599773.568	0.1361619907	138825759.064961	124.38037589	53	101.9942250054	10810915.0426475
9677.11	9704.56	9530.21	16610070933	175865705417.729	0.1561756519	122442594.951705	89.04999864	55	104.8358667166	9515131.31193061
9905.17	10023.81	9652.85	20507998997	178740874539.496	0.3293767961	136238943.678657	76.48811017	55	84.079605114	10587041.6037513
10990.87	11298.22	9903.97	35359749590	183064851468	0.3254762494	128205972.903398	121.12370183	58	45.1272237908	11099308.3016979
10912.82	11204.33	10632.63	28766551142	202191797991.408	0.3732535858	121437040.395232	187.57139032	76	74.5345903127	12037341.111269
11100.47	11304.4	10856.14	24617249715	201144184191.066	0.3818786074	123949530.886168	174.64034253	71	247.3847567919	12189404.7472878
11111.21	11169.36	10895.46	22857247901	204969785090.676	0.6564680206	113062072.092113	179.95866069	76	144.5780797766	11301864.6984554
